country,total_number_commits,num_users,avg_commits
Algeria,9,2,4.5000
Antigua,1,1,1.0000
Argentina,1900,65,29.2308
Armenia,1,1,1.0000
Australia,7347,296,24.8209
Austria,1440,88,16.3636
Azerbaijan,59,2,29.5000
Bangladesh,12,5,2.4000
"BarakaldoLocation of Barakaldo within the Bas",141,1,141.0000
Belarus,405,44,9.2045
Belgium,1852,88,21.0455
Bolivia,2,2,1.0000
"Bosnia and Herzegovina",5,1,5.0000
Brazil,5308,240,22.1167
Bulgaria,623,23,27.0870
Cambodia,1,1,1.0000
Canada,9694,442,21.9321
Chile,911,21,43.3810
China,19173,218,87.9495
Colombia,158,21,7.5238
"Costa Rica",10,4,2.5000
Croatia,99,22,4.5000
Cuba,3,1,3.0000
Cyprus,2,2,1.0000
"Czech Republic",8277,70,118.2429
Denmark,3244,97,33.4433
"Dominican Republic",12,3,4.0000
Ecuador,7,2,3.5000
Egypt,71,9,7.8889
"El Salvador",12,1,12.0000
England,8575,380,22.5658
Estonia,346,18,19.2222
Finland,3772,73,51.6712
France,13018,513,25.3762
Georgia,44,9,4.8889
Germany,19716,814,24.2211
Greece,225,32,7.0313
Herzegovina,1,1,1.0000
Honduras,1,1,1.0000
"Hong Kong",1,1,1.0000
Hungary,212,37,5.7297
Iceland,21,11,1.9091
India,2287,161,14.2050
Indonesia,117,20,5.8500
Iran,877,16,54.8125
Ireland,708,51,13.8824
Israel,407,72,5.6528
Italy,2250,148,15.2027
Jamaica,615,3,205.0000
Japan,13349,259,51.5405
Jordan,26,4,6.5000
Kazakhstan,71,3,23.6667
Kenya,30,2,15.0000
"Kingdom of Denmark",3,1,3.0000
"Kingdom of the Netherlands",10,1,10.0000
Kyrgyzstan,18,4,4.5000
Latvia,624,16,39.0000
Liechtenstein,9,1,9.0000
Lithuania,287,15,19.1333
Luxembourg,41,12,3.4167
Macedonia,15,4,3.7500
Malaysia,35,14,2.5000
Malta,6,2,3.0000
Mauritius,2,1,2.0000
Mexico,195,24,8.1250
Moldova,48,8,6.0000
Mongolia,10,2,5.0000
Montenegro,30,1,30.0000
Morocco,34,7,4.8571
Myanmar,12,2,6.0000
Netherlands,10805,293,36.8771
"New Zealand",841,74,11.3649
Nigeria,3,1,3.0000
"Norway",2,1,2.0000
Norway,3460,110,31.4545
Pakistan,17,4,4.2500
Panama,72,2,36.0000
Paraguay,3,3,1.0000
Peru,86,12,7.1667
Philippines,87,18,4.8333
Poland,3226,178,18.1236
Portugal,397,60,6.6167
Romania,465,44,10.5682
Russia,8770,309,28.3819
Rwanda,2,1,2.0000
"Saudi Arabia",4,3,1.3333
Scotland,370,39,9.4872
Senegal,97,2,48.5000
Serbia,10,8,1.2500
Singapore,4069,39,104.3333
Slovakia,92,28,3.2857
Slovenia,72,12,6.0000
"South Africa",631,38,16.6053
"South Korea",258,33,7.8182
Spain,3583,190,18.8579
"Sri Lanka",18,5,3.6000
Sweden,8112,225,36.0533
Switzerland,1900,148,12.8378
Syria,17,2,8.5000
Taiwan,175,41,4.2683
Thailand,283,19,14.8947
Tobago,6,2,3.0000
Tunisia,2,2,1.0000
Turkey,390,25,15.6000
Uganda,4,2,2.0000
Ukraine,2761,131,21.0763
"United Arab Emirates",16,6,2.6667
"United Kingdom",955,101,9.4554
"United States",122793,3651,33.6327
Uruguay,1611,38,42.3947
Uzbekistan,9,2,4.5000
Venezuela,1156,7,165.1429
Vietnam,15,5,3.0000
Wales,10,6,1.6667
Zambia,4,1,4.0000
